product_id,docid,product_url,text
56257951,022P1000506,http://images.jdmagicbox.com/comp/mumbai/06/022p1000506/catalogue/dulhan-beauty-parlour-andheri-east-mumbai-women-beauty-parlours-3ubhdrz.jpg,"This image shows a room with a large mirror on the right, a cabinet full of products on the left, and a shelf above it. The cabinet appears to be filled with various products, such as skincare items, cosmetics, and cleaning supplies. There is also a mop leaning against the cabinet. The shelf above the cabinet has more products on it, including bottles and jars. The mirror on the right reflects the room, showing a red tablecloth or rug on the floor and a few objects on it. The walls of the room are painted yellow and white, and there is a white tile backsplash behind the cabinet and shelf. Overall, the image suggests that this is a bathroom or dressing room, possibly in a home or salon."
56257978,022P1000506,http://images.jdmagicbox.com/comp/mumbai/06/022p1000506/catalogue/dulhan-beauty-parlour-andheri-east-mumbai-women-beauty-parlours-41khasw.jpg,"This image appears to be a photograph of a shelf with various beauty products, including hair care and skincare items. The shelf is black and has a few items on it, including boxes of hair dye, a box of skincare products, and some other unidentifiable items. The background of the image is a yellow wall, which suggests that the photo was taken in a home or office setting. Overall, the image appears to be a casual snapshot of a person's personal care products, rather than a professional or commercial photograph."
56258016,022P1000506,https://images.jdmagicbox.com/v2/comp/mumbai/06/022p1000506/catalogue/dulhan-beauty-parlour-andheri-east-mumbai-beauty-parlours-for-makeup-1Stldw59becf8ko.jpg,"This image shows a sign for a beauty parlour, advertising a pure oxygen facial and oxylife products."
349469341,022P1000506,https://images.jdmagicbox.com/v2/comp/mumbai/06/022p1000506/catalogue/dulhan-beauty-parlour-andheri-east-mumbai-beauty-parlours-for-makeup-9f3bpisnu6.jpg,"The image shows a hand holding a business card. The card is pink and white, with a drawing of a woman's face on it. The card appears to be for a beauty salon or spa, with services listed such as hair treatment, facial on skin type, beauty treatment, advance hair cut, and special in bridal makeup. The card also includes contact information, including a phone number and address."
4946918,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-2ep1jv9.jpg,"This image appears to be a sign for a health and beauty clinic, as indicated by the text ""Gazalle Health & Beauty Clinic"" in gold lettering on a purple background. The sign also includes additional text in a foreign language, which may be Hindi or another Indian language. The sign is attached to the front of a building, and the entrance to the clinic is visible below it, with a pink door and a window above it. The overall atmosphere of the image suggests a professional and welcoming environment for customers seeking health and beauty services."
4946922,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-3gfyaqm.jpg,"This image appears to show a beauty salon or spa. There are two workstations, one with a red chair and one with a black chair. There is a table with various beauty products on it, and a shelf with more products on it. There is also a fan in the room, which suggests that it may be a warm or humid environment."
4946925,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-38ba7.jpg,"A framed certificate, a shelf with beauty products, and a purple wall."
17013646,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-369dom7.jpg,"This image shows a salon or spa station. 

The station has a long mirror with a wooden frame, a long wooden counter with a red and black chair on either side, and a black cart with drawers underneath the counter. There are various bottles of nail polish and other beauty products on the counter. A poster on the wall behind the mirror advertises a pedicure service. The walls are made of stone or brick, and the floor is tiled. The overall atmosphere suggests a professional and clean environment for beauty treatments."
17013657,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-42fypus.jpg,"This image appears to show a collection of beauty products, including hair care products, skin care products, and possibly some other types of cosmetics. The products are arranged on a countertop or shelf, with some bottles and tubes standing upright and others lying down. There are several different brands represented, including Matrix, Biolage, and L'Oreal."
17013675,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-1mo74wg.jpg,"The image shows a collection of hair and skincare products on two glass shelves. 

The top shelf contains a variety of hair care products, including hairsprays, serums, and conditioners. The bottom shelf is filled with skincare products, such as moisturizers, lotions, and creams. The products are arranged neatly on the shelves, with some of them stacked on top of each other. The background of the image appears to be a wall or countertop, with a subtle texture and color that complements the products on the shelves."
17013689,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-jeu8k4.jpg,"This image appears to show a salon or beauty parlor. It has a mirror, a table with a white bowl, a red chair, a water bottle, and a white plastic object on the table. The walls are made of stone, and the floor is tiled. There is also a door in the background. The overall atmosphere suggests a professional and clean environment, possibly for hair or nail care services."
17013701,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-2efchpl.jpg,"The image shows a cabinet with various items inside. The cabinet is made of wood and has two doors that are open, revealing the contents inside. 

The top shelf contains a variety of beauty products, including hair care products, skincare products, and makeup. There are also some bottles and containers on this shelf. The middle shelf appears to be empty, while the bottom shelf holds more beauty products, as well as some small drawers and a magazine or newspaper. 

Overall, the image suggests that the cabinet is used for storing personal care items and other household essentials."
17013710,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-174qccm.jpg,"The image shows a stack of facial kits, including Glycolic, Diamond Facial Kit, and Olivia Professional Gold Facial Kit."
17013733,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-44n4bma.jpg,"The image shows a room with various pieces of equipment, including a hair dryer, a lamp, and a machine with wires and cables. The room appears to be a small, cluttered space with a brick wall and a tiled floor. There is a black chair in the corner of the room, and a white machine with a red button on it. The overall atmosphere of the image suggests that it may be a medical or beauty treatment room."
17013745,022P1000844,http://images.jdmagicbox.com/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-1b61cun.jpg,"The image shows a massage table with a red sheet on it, a mirror, and various other items in the room. The purpose of the image is to show the setup of a massage room or spa.

* A massage table with a red sheet on it:
	+ The table is covered with a red sheet.
	+ There are two pillows at the head of the table.
	+ The table has a white frame and legs.
* A mirror on the wall:
	+ The mirror is rectangular and has a white frame.
	+ It is mounted on the wall above the massage table.
	+ The mirror reflects the massage table and other items in the room.
* A hair dryer and other items on the counter:
	+ The hair dryer is black and has a long cord.
	+ There are other items on the counter, including a lamp, a phone, and a box of tissues.
	+ The counter is made of white marble or granite.

Overall, the image suggests that this is a professional massage room or spa, with a comfortable and clean environment for clients to receive treatments. The presence of a hair dryer and other items on the counter implies that the room may also offer additional services such as hair care or beauty treatments."
17013761,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-3cob8ec.jpg,"The image appears to show the exterior of a beauty clinic, with a sign that reads ""Gazalle"" in gold lettering on a blue background. The sign also includes additional text in a foreign language, possibly Hindi or another Indian language. The building itself is two stories tall and has a beige stucco exterior, with a balcony on the second floor that is adorned with plants and a blue tarp. A large palm tree stands in front of the entrance, which is a doorway with a white frame and a black awning above it. To the right of the doorway is a black sign with white text that appears to be a menu or list of services offered by the clinic. Overall, the image suggests that the Gazalle beauty clinic is a small, family-owned business that offers a range of beauty treatments and services."
17013774,022P1000844,https://images.jdmagicbox.com/v2/comp/mumbai/44/022p1000844/catalogue/gazalle-health-and-beauty-clinic-andheri-west-mumbai-beauty-spas-79d49.jpg,"The image shows a large sign for a health and beauty clinic, featuring a list of services offered by the clinic. The sign is black with white text and includes a phone number and address for appointments. It is likely that the sign is located outside the clinic to attract potential customers and provide information about the services available."
